,ID,Latitude,Longitude,Stage,Stage_confidence,Photo_URL
0,195932834,35.9564388889,-83.8666916667,Adult,87.83,https://inaturalist-open-data.s3.amazonaws.com/photos/344827045/square.jpeg
0,196463810,36.2870798074,-87.0820930215,Juvenile,71.826546,https://inaturalist-open-data.s3.amazonaws.com/photos/345893697/square.jpeg
0,196463811,36.2871041223,-87.0821157806,Juvenile,85.14399,https://inaturalist-open-data.s3.amazonaws.com/photos/345893701/square.jpeg
0,196463818,36.2931591967,-87.0976540972,Juvenile,72.035484,https://inaturalist-open-data.s3.amazonaws.com/photos/345893723/square.jpeg
0,197558365,36.5698802259,-87.2497691665,Juvenile,54.807503,https://inaturalist-open-data.s3.amazonaws.com/photos/347986611/square.jpeg
0,197606443,38.113075,-83.5406,Juvenile,97.04256,https://inaturalist-open-data.s3.amazonaws.com/photos/348084531/square.jpeg
0,197606444,38.113575,-83.5398583333,Juvenile,92.63443,https://inaturalist-open-data.s3.amazonaws.com/photos/348084533/square.jpeg
0,197733706,40.813697036,-72.9071387675,Adult,52.36228,https://inaturalist-open-data.s3.amazonaws.com/photos/348334970/square.jpg
0,197733777,40.9258236759,-72.9309377961,Adult,58.58456,https://inaturalist-open-data.s3.amazonaws.com/photos/348335081/square.jpg
0,197763810,34.9185478944,-79.4303241341,Juvenile,98.90013,https://inaturalist-open-data.s3.amazonaws.com/photos/348397581/square.jpg
0,198008039,32.9428509722,-83.419734,Adult,96.329124,https://inaturalist-open-data.s3.amazonaws.com/photos/348892618/square.jpeg
0,198454385,36.2931526785,-87.0968404994,Adult,60.75043,https://inaturalist-open-data.s3.amazonaws.com/photos/349777551/square.jpeg
0,199723890,30.687345,-91.2863916667,Adult,52.979492,https://inaturalist-open-data.s3.amazonaws.com/photos/352261653/square.jpg
0,199949360,38.5864527778,-77.4215888889,Adult,51.872505,https://inaturalist-open-data.s3.amazonaws.com/photos/352677880/square.jpeg
0,199949361,38.5863333333,-77.4216083333,Adult,82.48101,https://inaturalist-open-data.s3.amazonaws.com/photos/352677882/square.jpeg
