,ID,Latitude,Longitude,Stage,Stage_confidence,Photo_URL
0,199995261,33.8885482151,-83.3635322469,Juvenile,61.983055,https://inaturalist-open-data.s3.amazonaws.com/photos/352769467/square.jpg
0,200102648,36.2922061445,-87.0947987888,Juvenile,71.0626,https://inaturalist-open-data.s3.amazonaws.com/photos/352978309/square.jpeg
0,200103471,36.2929777446,-87.0972814931,Adult,75.12411,https://inaturalist-open-data.s3.amazonaws.com/photos/352981453/square.jpeg
0,200450507,36.1536168962,-86.927265025,Adult,78.68165,https://inaturalist-open-data.s3.amazonaws.com/photos/353655606/square.jpeg
0,200562310,34.6840286097,-83.7485207016,Juvenile,55.83141,https://inaturalist-open-data.s3.amazonaws.com/photos/353814376/square.jpg
0,200914420,36.290253758,-87.089797462,Juvenile,75.660286,https://inaturalist-open-data.s3.amazonaws.com/photos/354564666/square.jpeg
0,200915550,36.2921002968,-87.0989402204,Adult,78.0141,https://inaturalist-open-data.s3.amazonaws.com/photos/354567901/square.jpeg
0,201473099,36.285756026,-87.0798960466,Adult,81.58132,https://inaturalist-open-data.s3.amazonaws.com/photos/355655029/square.jpeg
0,201475920,36.2909327716,-87.0916808121,Juvenile,70.55621,https://inaturalist-open-data.s3.amazonaws.com/photos/355661420/square.jpeg
0,201477048,36.2946692541,-87.1000646826,Juvenile,96.01093,https://inaturalist-open-data.s3.amazonaws.com/photos/355662850/square.jpeg
0,201536250,42.5872024403,-76.283541092,Juvenile,55.736153,https://inaturalist-open-data.s3.amazonaws.com/photos/355779568/square.jpg
0,201542355,42.4380011082,-76.2603112179,Juvenile,67.05199,https://inaturalist-open-data.s3.amazonaws.com/photos/355791254/square.jpg
0,201564041,41.8983166667,-73.8782966667,Adult,84.262634,https://inaturalist-open-data.s3.amazonaws.com/photos/355833872/square.jpg
0,201569459,36.0607528333,-86.9054866667,Adult,97.98931,https://inaturalist-open-data.s3.amazonaws.com/photos/355844251/square.jpg
0,201629863,42.4509383333,-76.3647216667,Juvenile,89.130196,https://inaturalist-open-data.s3.amazonaws.com/photos/355956652/square.jpg
0,201629890,42.4509883333,-76.3644716667,Juvenile,61.085945,https://inaturalist-open-data.s3.amazonaws.com/photos/355956834/square.jpg
0,201629964,42.4512833333,-76.3647916667,Adult,74.520836,https://inaturalist-open-data.s3.amazonaws.com/photos/355956861/square.jpg
0,201630002,42.4511966667,-76.364845,Juvenile,88.071205,https://inaturalist-open-data.s3.amazonaws.com/photos/355956945/square.jpg
0,201643739,31.4078601,-93.1261276,Adult,62.538837,https://inaturalist-open-data.s3.amazonaws.com/photos/355984907/square.jpeg
0,201800681,36.4043218422,-87.2824998389,Juvenile,50.2654,https://inaturalist-open-data.s3.amazonaws.com/photos/356286921/square.jpeg
0,201800682,36.4043391124,-87.2824569236,Adult,53.71026,https://inaturalist-open-data.s3.amazonaws.com/photos/356286942/square.jpeg
0,201800900,36.4044191281,-87.2819586708,Juvenile,93.822655,https://inaturalist-open-data.s3.amazonaws.com/photos/356287874/square.jpeg
0,201804423,36.4041042247,-87.2839346387,Adult,78.77131,https://inaturalist-open-data.s3.amazonaws.com/photos/356294216/square.jpeg
0,201867295,38.2657681759,-76.524234817,Adult,60.351353,https://inaturalist-open-data.s3.amazonaws.com/photos/356419689/square.jpg
0,201974560,36.4068056281,-87.2883384176,Juvenile,54.953545,https://inaturalist-open-data.s3.amazonaws.com/photos/356622790/square.jpeg
0,201974565,36.4067376993,-87.2884027906,Adult,60.16371,https://inaturalist-open-data.s3.amazonaws.com/photos/356622829/square.jpeg
0,202178860,34.6479744642,-83.4006026939,Adult,85.94768,https://inaturalist-open-data.s3.amazonaws.com/photos/357025149/square.jpg
0,202237384,34.9532045265,-86.197131451,Adult,91.576096,https://inaturalist-open-data.s3.amazonaws.com/photos/357141174/square.jpg
0,202462496,36.891242089,-81.5166538008,Adult,56.927597,https://inaturalist-open-data.s3.amazonaws.com/photos/357571717/square.jpeg
0,202480542,36.2898318919,-87.0886237972,Juvenile,98.832634,https://inaturalist-open-data.s3.amazonaws.com/photos/357607731/square.jpeg
0,202600907,37.1874335997,-80.3775487997,Adult,93.50947,https://inaturalist-open-data.s3.amazonaws.com/photos/357840138/square.jpeg
0,202738289,42.1956033333,-74.0430611667,Adult,74.936165,https://inaturalist-open-data.s3.amazonaws.com/photos/358096351/square.jpg
0,202853133,37.9148584905,-78.8783473186,Adult,94.22748,https://inaturalist-open-data.s3.amazonaws.com/photos/358312213/square.jpeg
0,202853135,37.9148584905,-78.8783473186,Adult,87.83406,https://inaturalist-open-data.s3.amazonaws.com/photos/358312240/square.jpeg
0,202857532,37.9137472222,-78.8781416667,Juvenile,56.246525,https://inaturalist-open-data.s3.amazonaws.com/photos/358323717/square.jpg
